county,waterbody.type,wbic,name,name.local,named,hydro.unit,basin.maj,basin.min,seg.no,landlock,lake.type,access,area,impound,size.code,dep.max,dep.avg,len.shore,len.shore.m,dist.ash,muskie,nor.pike,wae,lmb,smb,pan,trout,cat,sturg,merc.warn
Ashland,LP,2754000,ALEX POND,NA,TRUE,4010302,3,280,1,TRUE,SE,NA,9,9,VS,NA,NA,NA,NA,8,NA,P,NA,NA,NA,P,NA,NA,NA,NA
Ashland,RF,2410400,AUGUSTINE LAKE,NA,TRUE,7050001,2,261,1,NA,SE,BR,166,166,L,10,7,2.31,3720,30,C,P,NA,P,NA,P,NA,NA,NA,Z
Ashland,LP,2892100,BAD RIVER SLOUGH,NA,TRUE,4010302,3,280,1,FALSE,DG,NW,204,204,L,24,5,4.67,7520,13,P,C,C,NA,P,P,NA,NA,NA,NA
Ashland,LP,2755100,BASS LAKE,NA,TRUE,4010302,3,280,1,TRUE,SE,BR,28,28,S,12,6,1.2,1932,13,NA,NA,NA,P,NA,P,NA,NA,NA,NA
Ashland,LP,2405100,BAY SPRING,NA,TRUE,7050001,2,261,1,FALSE,SP,T,2,2,VS,5,NA,0.45,725,38,NA,NA,NA,NA,NA,NA,C,NA,NA,NA
Ashland,LP,2403200,BEAR LAKE,NA,TRUE,7050001,2,261,1,FALSE,DG,NW,204,204,L,9,5,7.45,11997,36,C,P,C,NA,P,P,NA,NA,NA,Y
Ashland,LP,1834500,BEAVER LAKE,NA,TRUE,7050001,2,261,1,TRUE,SE,NA,24,24,S,14,8,2.27,3655,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2916200,BEAVER LAKE,NA,TRUE,4010302,3,280,1,FALSE,SE,BR,35,35,S,10,5,1.15,1852,18,NA,NA,NA,NA,NA,A,C,NA,NA,NA
Ashland,LP,2935400,BEAVER LAKE,NA,TRUE,4010302,3,280,1,FALSE,DG,BR,25,25,S,8,NA,1.1,1771,22,P,NA,NA,P,NA,P,NA,NA,NA,NA
Ashland,RF,2916700,BEAVERDAM LAKE,NA,TRUE,4010302,3,280,1,NA,DG,NA,118,118,M,19,6,7.3,11755,12,C,NA,NA,P,NA,A,NA,NA,NA,NA
Ashland,LP,2751600,BIG BAY LAGOON -MADELINE IS,NA,TRUE,4010301,3,280,1,FALSE,NA,NA,NA,105,M,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,1835800,BLUEBERRY LAKE,NA,TRUE,7050002,2,261,1,TRUE,SE,NA,2,2,VS,7,NA,0.29,467,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashland,LP,2752000,BOG LAKE -MADELINE IS,NA,TRUE,4010301,3,280,1,FALSE,SE,NA,36,36,S,5,NA,NA,NA,27,NA,P,NA,NA,NA,P,NA,NA,NA,NA
Ashland,LP,2407900,BULLHEAD LAKE,NA,TRUE,7050001,2,261,1,FALSE,DG,NA,14,14,VS,13,NA,0.7,1127,38,NA,NA,NA,NA,NA,C,NA,NA,NA,NA
Ashland,LP,2283300,BUTTERNUT LAKE,NA,TRUE,7050002,2,261,2,FALSE,DG,BR,1006,1006,VL,32,14,NA,NA,46,A,P,A,P,P,C,NA,NA,P,Y
Ashland,LP,1838600,CAMMERER LAKE,NA,TRUE,7050001,2,261,1,TRUE,SE,BR,19,19,VS,27,13,0.58,934,30,NA,NA,NA,NA,NA,P,C,NA,NA,NA
Ashland,LP,1838700,CAMP FOUR LAKE,NA,TRUE,7050001,2,261,1,TRUE,SE,NA,10,10,VS,19,NA,0.59,950,38,NA,NA,NA,NA,NA,P,NA,NA,NA,NA
Ashland,RF,2938000,CAROLINE LAKE,NA,TRUE,4010302,3,280,1,NA,DG,BR,130,130,M,8,5,2.39,3849,22,NA,C,NA,C,NA,C,NA,NA,NA,NA
Ashland,LP,2932700,CONLEY LAKE,NA,TRUE,4010302,3,280,1,FALSE,SE,NA,6,6,VS,25,NA,0.34,548,19,NA,NA,NA,P,NA,P,NA,NA,NA,NA
Ashland,LP,2430100,CRANBERRY LAKE,NA,TRUE,7050001,2,261,1,FALSE,SE,NA,8,8,VS,15,NA,0.59,950,24,NA,NA,NA,P,NA,P,NA,NA,NA,NA
Ashland,LP,1842600,CUB LAKE,NA,TRUE,7050001,2,261,1,TRUE,SE,NA,31,31,S,21,NA,1.2,1932,36,P,NA,NA,P,NA,P,NA,NA,NA,NA
Ashland,LP,1842900,CYCLE LAKE,NA,TRUE,7050002,2,261,1,TRUE,SE,NA,37,37,S,23,14,1.15,1852,35,NA,NA,NA,C,NA,C,NA,NA,NA,NA
Ashland,RF,2430300,DAY LAKE,NA,TRUE,7050001,2,261,1,NA,DG,BR,P,625,641,VL,20,7,NA,NA,24,C,NA,NA,C,NA,A,NA,NA,NA,Y
