race sex age
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 0
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
white male 1
