#File name --> SquareLakePopn.txt
#Simulated lengths, weights, sexes, and ages for the
#  population of 1014 fish in "Square Lake".
#  Lengths are in mm, weights are in grams.
#  File was sorted by Age
#
tl	fl	sl	w	age	sex
61	60	57	2.02	1	M
67	64	62	3.75	1	F
82	78	73	7.56	1	F
67	65	61	3.57	1	F
73	71	63	3.62	1	F
66	60	54	3.07	1	F
65	65	60	2.42	1	M
74	74	67	5.03	1	F
82	73	71	5.11	1	F
74	68	63	4.72	1	F
78	77	72	4.52	1	M
60	56	52	2.72	1	M
79	78	73	5.22	1	M
80	76	73	7.12	1	F
70	71	68	3.00	1	M
53	43	41	1.55	1	M
76	79	77	5.47	1	F
68	59	54	3.14	1	M
78	72	63	7.01	1	M
64	65	57	2.13	1	F
66	63	59	3.43	1	F
87	81	75	5.68	1	M
67	58	52	4.03	1	F
93	84	77	6.50	1	F
79	73	69	4.82	1	F
57	63	59	1.88	1	F
82	76	75	7.70	1	F
76	73	68	4.74	1	M
85	81	76	5.87	1	M
67	65	60	2.53	1	M
80	78	73	6.41	1	F
81	76	70	5.62	1	M
81	74	70	9.19	1	F
63	60	55	2.54	1	M
72	67	64	5.02	1	F
50	48	44	1.16	1	F
90	87	82	8.39	1	F
69	61	56	3.61	1	M
67	63	59	4.14	1	M
60	54	47	2.93	1	M
88	82	80	9.64	1	M
95	88	80	7.64	1	M
64	61	53	3.71	1	F
57	58	54	2.07	1	F
79	72	73	3.09	1	F
62	58	54	3.11	1	F
81	81	76	4.27	1	F
54	53	50	2.82	1	M
76	73	67	6.46	1	F
50	47	43	1.24	1	F
66	57	53	3.15	1	M
61	62	61	3.00	1	F
64	59	51	2.34	1	F
86	80	73	6.34	1	F
71	67	62	3.96	1	M
64	60	55	3.44	1	F
70	65	58	4.67	1	F
76	73	68	4.33	1	F
78	77	74	4.80	1	M
52	46	44	1.79	1	F
69	68	64	4.56	1	F
63	61	57	1.87	1	F
67	59	53	4.25	1	M
76	72	66	4.43	1	M
66	60	52	3.36	1	M
57	52	49	2.88	1	F
55	54	48	2.06	1	F
75	70	65	5.21	1	F
86	78	74	5.36	1	M
47	50	45	1.21	1	M
64	58	52	3.17	1	F
68	64	57	4.35	1	F
83	80	77	7.09	1	F
79	75	69	3.40	1	F
